upc,date_adj,haspromo,units_adj
3384400393,20210707,0,0
3010011233,20210707,0,0
76908700429,20210707,0,0
9370930110,20210707,0,0
2391315942,20210707,0,0
8992453249,20210707,0,0
27082900000,20210707,0,167
20748700000,20210707,0,28
1200017232,20210707,1,11
3150000239,20210707,0,12
84654802077,20210707,0,1
3800040340,20210707,0,65
4100073148,20210707,1,15
3000031597,20210707,0,7
20108500000,20210707,0,35
79042923230,20210707,0,17
85954600425,20210707,0,5
62,20210707,0,105
3620001498,20210707,0,9
64944000312,20210707,0,3
7756700224,20210707,1,28
60155799248,20210707,0,4
7314907470,20210707,0,3
85123900205,20210707,0,2
4450020181,20210707,0,3
7127910808,20210707,0,22
64556901017,20210707,0,8
76738703420,20210707,0,3
9426241343,20210707,0,4
1380014333,20210707,0,5
2558300422,20210707,0,10
9849313150,20210707,0,2
20669000000,20210707,0,1
20521800000,20210707,0,6
1200017149,20210707,0,1
4722307103,20210707,0,2
5150000087,20210707,0,10
4133101501,20210707,0,3
85564800637,20210707,0,3
4450096650,20210707,0,12
1674100070,20210707,0,2
7065000404,20210707,0,8
4900004713,20210707,0,2
7630172216,20210707,0,7
81029100230,20210707,0,9
7040400117,20210707,1,22
80000000052,20210707,0,2
1115330124,20210707,0,3
89618000102,20210707,0,3
60265217011,20210707,0,4
1600043779,20210707,0,5
7778202396,20210707,0,4
7169140528,20210707,0,3
5210003639,20210707,0,4
3732312724,20210707,0,3
72450036736,20210707,0,3
3800024383,20210707,0,9
30045020431,20210707,0,2
85804500444,20210707,0,1
689,20210707,0,11
20709500000,20210707,0,4
3331422222,20210707,0,1
28681700000,20210707,0,4
1115306112,20210707,0,6
21483900000,20210707,0,3
25080000000,20210707,0,43
28083500000,20210707,0,3
7431202832,20210707,0,2
24028600000,20210707,0,6
4133102133,20210707,0,2
3680010616,20210707,0,2
1553210110,20210707,0,1
74595730150,20210707,0,1
8017137000058,20210707,0,1
2756806022,20210707,0,1
2362753112,20210707,0,5
2800023317,20210707,0,2
20093300000,20210707,0,3
84654805999,20210707,0,1
8831300451,20210707,0,6
81369502104,20210707,0,1
4118804161,20210707,0,3
26585100000,20210707,0,3
76777800101,20210707,0,1
5833601114,20210707,0,2
76348538956,20210707,0,3
1410005187,20210707,0,2
82699804099,20210707,0,1
7506200109,20210707,0,2
8658100760,20210707,0,4
85977200512,20210707,0,2
7790100404,20210707,0,2
7410880058,20210707,0,1
4012920061,20210707,0,2
4133112741,20210707,0,3
32390004120,20210707,0,1
61864531525,20210707,0,1
20282800000,20210707,0,1
2260022329,20210707,0,1
89632100959,20210707,0,1
81594400541,20210707,0,2
7702011046932,20210708,0,0
60448500590,20210708,0,0
82058198346,20210708,0,0
3398403720,20210708,1,0
4218702647,20210708,0,0
7763621510,20210708,0,0
4154828745,20210708,0,0
27082900000,20210708,0,162
3114235900,20210708,0,101
3700077131,20210708,0,25
1111587132,20210708,0,125
7618300310,20210708,0,47
79042923230,20210708,0,9
3800040340,20210708,0,66
20748700000,20210708,0,41
1600043779,20210708,0,9
7127910808,20210708,0,24
